,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
R. Jumamoy,NU,177.2000000001,19.0,87.0,21.839080459770116,8.0,41.0,19.51219512195122,11.0,46.0,23.91304347826087,15.0,19.0,78.94736842105263,64.0,6.0,16.0,22.0,18.0,20.0,9.0,1.0,10.0,17.0,25.0,-37.0,4.0,13.0
D. Lim,NU,169.8166666667,9.0,42.0,21.428571428571427,3.0,19.0,15.789473684210526,6.0,23.0,26.08695652173913,4.0,6.0,66.66666666666667,28.0,2.0,23.0,25.0,6.0,4.0,5.0,0.0,5.0,23.0,9.0,-29.0,4.0,13.0
E. Dela Cruz,NU,37.25,2.0,7.0,28.571428571428573,2.0,7.0,28.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,6.0,9.0,4.0,2.0,1.0,0.0,1.0,11.0,0.0,-13.0,2.0,11.0
J. Garcia,NU,22.9,3.0,10.0,30.0,3.0,10.0,30.0,0.0,0.0,0.0,1.0,2.0,50.0,7.0,1.0,3.0,4.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,2.0
P. Palacielo,NU,272.04999999999995,45.0,109.0,41.28440366972477,45.0,106.0,42.45283018867924,0.0,3.0,0.0,8.0,18.0,44.44444444444444,98.0,23.0,54.0,77.0,10.0,23.0,10.0,8.0,18.0,38.0,22.0,-5.0,4.0,13.0
P. Yu,NU,177.3333333333,9.0,50.0,18.0,3.0,16.0,18.75,6.0,34.0,17.647058823529413,7.0,11.0,63.63636363636363,31.0,8.0,19.0,27.0,12.0,5.0,2.0,0.0,2.0,12.0,7.0,-2.0,4.0,13.0
T. Garcia,NU,116.95,15.0,32.0,46.875,15.0,31.0,48.38709677419355,0.0,1.0,0.0,14.0,23.0,60.869565217391305,44.0,2.0,7.0,9.0,15.0,18.0,3.0,0.0,3.0,21.0,15.0,-22.0,3.0,11.0
P. Francisco,NU,126.3833333332,16.0,47.0,34.04255319148936,9.0,21.0,42.857142857142854,7.0,26.0,26.923076923076923,2.0,2.0,100.0,41.0,9.0,9.0,18.0,6.0,7.0,8.0,4.0,12.0,10.0,6.0,-8.0,4.0,13.0
G. Santiago,NU,133.23333333339997,9.0,42.0,21.428571428571427,4.0,16.0,25.0,5.0,26.0,19.23076923076923,16.0,21.0,76.19047619047619,39.0,10.0,24.0,34.0,5.0,5.0,6.0,1.0,7.0,17.0,17.0,10.0,4.0,13.0
I. Manansala,NU,293.6666666666,41.0,101.0,40.59405940594059,35.0,75.0,46.666666666666664,6.0,26.0,23.076923076923077,27.0,40.0,67.5,115.0,26.0,53.0,79.0,15.0,18.0,10.0,1.0,11.0,24.0,47.0,21.0,4.0,13.0
R. Finney,UE,2.1833333334000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0
R. Go,UE,11.6833333334,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-13.0,2.0,4.0
N. Mulingtapang,UE,131.8166666666,7.0,28.0,25.0,6.0,18.0,33.333333333333336,1.0,10.0,10.0,11.0,14.0,78.57142857142857,26.0,2.0,6.0,8.0,18.0,10.0,3.0,0.0,3.0,12.0,16.0,1.0,6.0,12.0
P. Momowei,UE,418.61666666670004,56.0,139.0,40.28776978417266,54.0,132.0,40.90909090909091,2.0,7.0,28.571428571428573,41.0,94.0,43.61702127659574,155.0,43.0,124.0,167.0,20.0,55.0,15.0,11.0,26.0,36.0,104.0,1.0,6.0,12.0
J. Jimenez,UE,14.0833333334,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,-6.0,3.0,3.0
R. Malaga III,UE,40.716666666799995,2.0,7.0,28.571428571428573,2.0,5.0,40.0,0.0,2.0,0.0,4.0,4.0,100.0,8.0,1.0,4.0,5.0,1.0,2.0,1.0,1.0,2.0,16.0,3.0,-7.0,3.0,8.0
K. Spandonis,UE,26.9166666667,1.0,5.0,20.0,0.0,2.0,0.0,1.0,3.0,33.333333333333336,3.0,5.0,60.0,6.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,6.0,2.0,-2.0,4.0,7.0
D. Fikes,UE,219.7666666664,25.0,68.0,36.76470588235294,16.0,31.0,51.61290322580645,9.0,37.0,24.324324324324323,13.0,22.0,59.09090909090909,72.0,15.0,26.0,41.0,13.0,22.0,6.0,5.0,11.0,33.0,22.0,-19.0,6.0,12.0
D. Robles,UE,7.8666666668,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,5.0
E. Galang,UE,263.93333333339996,22.0,78.0,28.205128205128204,7.0,21.0,33.333333333333336,15.0,57.0,26.31578947368421,6.0,8.0,75.0,65.0,5.0,28.0,33.0,14.0,11.0,10.0,7.0,17.0,29.0,13.0,-2.0,5.0,11.0
H. Cruz-Dumont,UE,49.483333333299996,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,7.0,9.0,3.0,7.0,1.0,0.0,1.0,14.0,2.0,-14.0,3.0,9.0
J. Abate,UE,295.1166666667,32.0,83.0,38.55421686746988,23.0,53.0,43.39622641509434,9.0,30.0,30.0,17.0,23.0,73.91304347826087,90.0,14.0,28.0,42.0,27.0,21.0,8.0,1.0,9.0,32.0,26.0,-34.0,6.0,12.0
R. Maga,UE,252.3499999999,36.0,92.0,39.130434782608695,27.0,68.0,39.705882352941174,9.0,24.0,37.5,5.0,7.0,71.42857142857143,86.0,14.0,22.0,36.0,15.0,18.0,6.0,3.0,9.0,18.0,12.0,8.0,6.0,12.0
G. Wilson,UE,138.7999999999,19.0,44.0,43.18181818181818,15.0,32.0,46.875,4.0,12.0,33.333333333333336,14.0,18.0,77.77777777777777,56.0,5.0,7.0,12.0,15.0,12.0,6.0,0.0,6.0,5.0,13.0,-4.0,6.0,12.0
J. Cruz-Dumont,UE,236.7333333332,22.0,65.0,33.84615384615385,11.0,35.0,31.428571428571427,11.0,30.0,36.666666666666664,12.0,14.0,85.71428571428571,67.0,8.0,30.0,38.0,23.0,7.0,7.0,3.0,10.0,18.0,12.0,-44.0,6.0,12.0
W. Lingolingo,UE,288.8666666667,35.0,98.0,35.714285714285715,14.0,33.0,42.42424242424242,21.0,65.0,32.30769230769231,19.0,22.0,86.36363636363636,110.0,16.0,38.0,54.0,6.0,10.0,17.0,1.0,18.0,29.0,22.0,31.0,6.0,12.0
R. Torres,UP,165.30000000010003,14.0,49.0,28.571428571428573,13.0,31.0,41.935483870967744,1.0,18.0,5.555555555555555,14.0,16.0,87.5,43.0,9.0,15.0,24.0,21.0,13.0,8.0,0.0,8.0,18.0,12.0,-10.0,8.0,11.0
C. Briones,UP,74.9833333334,6.0,24.0,25.0,4.0,8.0,50.0,2.0,16.0,12.5,1.0,2.0,50.0,15.0,2.0,11.0,13.0,5.0,4.0,1.0,0.0,1.0,5.0,2.0,-38.0,8.0,10.0
S. Alter,UP,44.666666666699996,5.0,12.0,41.666666666666664,5.0,10.0,50.0,0.0,2.0,0.0,0.0,2.0,0.0,10.0,8.0,9.0,17.0,0.0,3.0,1.0,0.0,1.0,10.0,2.0,-10.0,7.0,9.0
D. Ududo,UP,109.29999999999998,13.0,34.0,38.23529411764706,13.0,34.0,38.23529411764706,0.0,0.0,0.0,11.0,23.0,47.82608695652174,37.0,22.0,16.0,38.0,2.0,14.0,2.0,4.0,6.0,27.0,24.0,9.0,9.0,12.0
D. Walker,UP,21.5333333333,1.0,3.0,33.333333333333336,1.0,3.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,2.0,0.0,2.0,0.0,0.0,-17.0,5.0,5.0
Q. Millora-Brown,UP,241.8166666667,35.0,63.0,55.55555555555556,34.0,58.0,58.62068965517241,1.0,5.0,20.0,18.0,27.0,66.66666666666667,89.0,33.0,65.0,98.0,7.0,18.0,4.0,16.0,20.0,21.0,44.0,77.0,9.0,11.0
J. Felicilda,UP,150.45000000000002,12.0,32.0,37.5,8.0,20.0,40.0,4.0,12.0,33.333333333333336,1.0,4.0,25.0,29.0,4.0,21.0,25.0,15.0,14.0,5.0,0.0,5.0,16.0,5.0,32.0,8.0,10.0
F. Lopez,UP,221.11666666649998,44.0,78.0,56.41025641025641,37.0,53.0,69.81132075471699,7.0,25.0,28.0,26.0,48.0,54.166666666666664,121.0,7.0,58.0,65.0,17.0,25.0,8.0,12.0,20.0,28.0,40.0,50.0,9.0,12.0
G. Abadiano,UP,212.2666666667,18.0,65.0,27.692307692307693,12.0,35.0,34.285714285714285,6.0,30.0,20.0,6.0,9.0,66.66666666666667,48.0,4.0,15.0,19.0,21.0,12.0,9.0,0.0,9.0,14.0,17.0,48.0,8.0,11.0
T. Fortea,UP,190.8833333334,27.0,66.0,40.90909090909091,12.0,23.0,52.17391304347826,15.0,43.0,34.883720930232556,13.0,16.0,81.25,82.0,5.0,18.0,23.0,23.0,16.0,11.0,1.0,12.0,16.0,14.0,48.0,9.0,12.0
G. Stevens,UP,99.5,10.0,19.0,52.63157894736842,10.0,19.0,52.63157894736842,0.0,0.0,0.0,6.0,17.0,35.294117647058826,26.0,14.0,16.0,30.0,3.0,7.0,1.0,2.0,3.0,23.0,11.0,26.0,8.0,11.0
M. Belmonte,UP,140.69999999979999,22.0,47.0,46.808510638297875,18.0,36.0,50.0,4.0,11.0,36.36363636363637,5.0,6.0,83.33333333333333,53.0,6.0,27.0,33.0,13.0,16.0,2.0,2.0,4.0,19.0,9.0,37.0,9.0,12.0
H. Alarcon,UP,197.0999999999,36.0,85.0,42.35294117647059,31.0,64.0,48.4375,5.0,21.0,23.80952380952381,15.0,21.0,71.42857142857143,92.0,6.0,33.0,39.0,16.0,12.0,11.0,4.0,15.0,21.0,22.0,96.0,8.0,11.0
S. Torculas,UP,89.8166666667,14.0,40.0,35.0,11.0,27.0,40.74074074074074,3.0,13.0,23.076923076923077,5.0,9.0,55.55555555555556,36.0,10.0,14.0,24.0,5.0,8.0,5.0,2.0,7.0,8.0,8.0,2.0,7.0,10.0
J. Cagulangan,UP,238.3333333334,47.0,112.0,41.964285714285715,33.0,71.0,46.478873239436616,14.0,41.0,34.146341463414636,17.0,22.0,77.27272727272727,125.0,17.0,24.0,41.0,47.0,31.0,16.0,0.0,16.0,10.0,29.0,91.0,8.0,10.0
J. Bayla,UP,201.06666666670003,18.0,46.0,39.130434782608695,13.0,28.0,46.42857142857143,5.0,18.0,27.77777777777778,14.0,25.0,56.0,55.0,16.0,20.0,36.0,10.0,10.0,6.0,3.0,9.0,23.0,17.0,24.0,9.0,12.0
A. Acido,UST,125.28333333330002,11.0,45.0,24.444444444444443,3.0,11.0,27.272727272727273,8.0,34.0,23.529411764705884,5.0,7.0,71.42857142857143,35.0,9.0,15.0,24.0,10.0,6.0,3.0,1.0,4.0,9.0,7.0,-28.0,6.0,13.0
M. Tounkara,UST,340.6,69.0,147.0,46.93877551020408,59.0,115.0,51.30434782608695,10.0,32.0,31.25,21.0,32.0,65.625,169.0,38.0,81.0,119.0,12.0,32.0,6.0,7.0,13.0,30.0,33.0,56.0,6.0,12.0
M. Pangilinan,UST,123.29999999990001,8.0,32.0,25.0,0.0,2.0,0.0,8.0,30.0,26.666666666666668,5.0,7.0,71.42857142857143,29.0,4.0,14.0,18.0,5.0,10.0,4.0,1.0,5.0,15.0,4.0,-29.0,6.0,13.0
M. Llemit,UST,194.58333333329998,13.0,45.0,28.88888888888889,6.0,23.0,26.08695652173913,7.0,22.0,31.818181818181817,8.0,15.0,53.333333333333336,41.0,13.0,24.0,37.0,13.0,9.0,9.0,2.0,11.0,21.0,19.0,-56.0,6.0,13.0
L. Estacio,UST,112.7333333335,6.0,24.0,25.0,3.0,5.0,60.0,3.0,19.0,15.789473684210526,1.0,1.0,100.0,16.0,3.0,11.0,14.0,12.0,8.0,5.0,1.0,6.0,11.0,5.0,-22.0,6.0,12.0
K. Paranada,UST,140.24999999989998,21.0,48.0,43.75,9.0,19.0,47.36842105263158,12.0,29.0,41.37931034482759,8.0,15.0,53.333333333333336,62.0,2.0,11.0,13.0,23.0,19.0,5.0,0.0,5.0,20.0,11.0,-34.0,6.0,13.0
