PLAYER,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GP
A. Bongo,ADMU,19.92407407407778,2.111111111111111,7.0,30.1587301587,0.5555555555555556,2.111111111111111,26.3157894737,1.5555555555555556,4.888888888888889,31.8181818182,1.4444444444444444,1.6666666666666667,86.6666666667,7.222222222222222,1.0,2.2222222222222223,3.2222222222222223,1.3333333333333333,0.5555555555555556,0.8888888888888888,0.2222222222222222,1.1111111111111112,1.8888888888888888,1.6666666666666667,1.0,9.0
A. Balogun,ADMU,11.211111111111112,0.8888888888888888,2.7777777777777777,32.0,0.8888888888888888,2.4444444444444446,36.3636363636,0.0,0.3333333333333333,0.0,1.8888888888888888,3.111111111111111,60.7142857143,3.6666666666666665,1.8888888888888888,2.2222222222222223,4.111111111111111,0.2222222222222222,0.8888888888888888,0.3333333333333333,0.4444444444444444,0.7777777777777778,2.0,2.6666666666666665,-1.7777777777777777,9.0
J. Lazaro,ADMU,23.5562499999875,3.625,8.375,43.2835820896,3.0,7.0,42.8571428571,0.625,1.375,45.4545454545,0.75,2.125,35.2941176471,8.625,2.375,4.25,6.625,1.625,1.5,0.625,0.5,1.125,2.125,3.125,-9.125,8.0
K. Gamber,ADMU,6.942857142857143,1.0,3.0,33.3333333333,0.0,0.7142857142857143,0.0,1.0,2.2857142857142856,43.75,0.14285714285714285,0.14285714285714285,100.0,3.142857142857143,0.0,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.7142857142857143,0.0,-3.2857142857142856,7.0
M. Erolon,AdU,16.690740740733332,2.4444444444444446,6.555555555555555,37.2881355932,1.4444444444444444,3.4444444444444446,41.935483871,1.0,3.111111111111111,32.1428571429,0.2222222222222222,0.3333333333333333,66.6666666667,6.111111111111111,0.1111111111111111,1.2222222222222223,1.3333333333333333,2.5555555555555554,1.4444444444444444,1.0,0.0,1.0,1.2222222222222223,1.4444444444444444,0.4444444444444444,9.0
M. Barasi Jr,AdU,10.266666666655556,0.2222222222222222,1.4444444444444444,15.3846153846,0.2222222222222222,1.4444444444444444,15.3846153846,0.0,0.0,0.0,0.7777777777777778,1.0,77.7777777778,1.2222222222222223,0.4444444444444444,1.3333333333333333,1.7777777777777777,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.2222222222222222,1.4444444444444444,1.1111111111111112,-1.8888888888888888,9.0
E. Ramos,AdU,8.959259259255555,0.7777777777777778,2.7777777777777777,28.0,0.6666666666666666,2.3333333333333335,28.5714285714,0.1111111111111111,0.4444444444444444,25.0,0.3333333333333333,0.8888888888888888,37.5,2.0,0.6666666666666666,1.0,1.6666666666666667,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.3333333333333333,1.4444444444444444,1.6666666666666667,-4.555555555555555,9.0
J. Calisay,AdU,19.151851851844444,1.5555555555555556,6.111111111111111,25.4545454545,0.6666666666666666,3.0,22.2222222222,0.8888888888888888,3.111111111111111,28.5714285714,0.4444444444444444,1.0,44.4444444444,4.444444444444445,0.6666666666666666,3.5555555555555554,4.222222222222222,1.4444444444444444,1.0,0.6666666666666666,0.1111111111111111,0.7777777777777778,1.5555555555555556,1.0,-1.3333333333333333,9.0
M. Ojarikre,AdU,23.01666666667778,1.6666666666666667,3.4444444444444446,48.3870967742,1.6666666666666667,3.4444444444444446,48.3870967742,0.0,0.0,0.0,0.7777777777777778,2.4444444444444446,31.8181818182,4.111111111111111,3.3333333333333335,6.111111111111111,9.444444444444445,0.0,1.7777777777777777,0.2222222222222222,2.6666666666666665,2.888888888888889,1.7777777777777777,2.0,-3.2222222222222223,9.0
F. Dignadice,AdU,1.8972222222333333,0.16666666666666666,0.6666666666666666,25.0,0.16666666666666666,0.3333333333333333,50.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5,-1.8333333333333333,6.0
